ID	RANK_MIN	RANK_MAX	GROUP1_DAY	GROUP2_DAY	GROUP3_DAY	GROUP4_DAY	GROUP5_DAY	GROUP6_DAY	GROUP7_DAY	GROUP1_WEEK	GROUP2_WEEK	GROUP3_WEEK	GROUP4_WEEK	GROUP5_WEEK	GROUP6_WEEK	GROUP7_WEEK
1	1	1	15001000=18000,15004000=30	15001000=20000,15004000=35	15001000=22000,15004000=38	15001000=23000,15004000=39	15001000=24000,15004000=40	15001000=26000,15004000=42	15001000=19000,15004000=45	15004000=45	15004000=45	15004000=45	15004000=45	15004000=45	15004000=45	15004000=45
2	2	2	15001000=15000,15004000=28	15001000=17000,15004000=33	15001000=19000,15004000=36	15001000=20000,15004000=37	15001000=21000,15004000=38	15001000=23000,15004000=40	15001000=16000,15004000=43	15004000=43	15004000=43	15004000=43	15004000=43	15004000=43	15004000=43	15004000=43
3	3	3	15001000=10000,15004000=26	15001000=12000,15004000=31	15001000=14000,15004000=34	15001000=15000,15004000=35	15001000=16000,15004000=36	15001000=18000,15004000=38	15001000=11000,15004000=41	15004000=41	15004000=41	15004000=41	15004000=41	15004000=41	15004000=41	15004000=41
4	4	4	15001000=5000,15004000=10	15001000=7000,15004000=15	15001000=9000,15004000=18	15001000=10000,15004000=19	15001000=11000,15004000=20	15001000=13000,15004000=22	15001000=6000,15004000=25	15004000=25	15004000=25	15004000=25	15004000=25	15004000=25	15004000=25	15004000=25
5	5	5	15001000=5000,15004000=10	15001000=7000,15004000=15	15001000=9000,15004000=18	15001000=10000,15004000=19	15001000=11000,15004000=20	15001000=13000,15004000=22	15001000=6000,15004000=25	15004000=25	15004000=25	15004000=25	15004000=25	15004000=25	15004000=25	15004000=25
6	6	6	15001000=5000,15004000=10	15001000=7000,15004000=15	15001000=9000,15004000=18	15001000=10000,15004000=19	15001000=11000,15004000=20	15001000=13000,15004000=22	15001000=6000,15004000=25	15004000=25	15004000=25	15004000=25	15004000=25	15004000=25	15004000=25	15004000=25
7	7	7	15001000=5000,15004000=10	15001000=7000,15004000=15	15001000=9000,15004000=18	15001000=10000,15004000=19	15001000=11000,15004000=20	15001000=13000,15004000=22	15001000=6000,15004000=25	15004000=25	15004000=25	15004000=25	15004000=25	15004000=25	15004000=25	15004000=25
8	8	8	15001000=5000,15004000=5	15001000=7000,15004000=10	15001000=9000,15004000=13	15001000=10000,15004000=14	15001000=11000,15004000=15	15001000=13000,15004000=17	15001000=6000,15004000=20	15004000=20	15004000=20	15004000=20	15004000=20	15004000=20	15004000=20	15004000=20
9	9	9	15001000=5000,15004000=5	15001000=7000,15004000=10	15001000=9000,15004000=13	15001000=10000,15004000=14	15001000=11000,15004000=15	15001000=13000,15004000=17	15001000=6000,15004000=20	15004000=20	15004000=20	15004000=20	15004000=20	15004000=20	15004000=20	15004000=20
10	10	10	15001000=5000,15004000=5	15001000=7000,15004000=10	15001000=9000,15004000=13	15001000=10000,15004000=14	15001000=11000,15004000=15	15001000=13000,15004000=17	15001000=6000,15004000=20	15004000=20	15004000=20	15004000=20	15004000=20	15004000=20	15004000=20	15004000=20
11	11	15	15001000=5000,15004000=5	15001000=7000,15004000=10	15001000=9000,15004000=13	15001000=10000,15004000=14	15001000=11000,15004000=15	15001000=13000,15004000=17	15001000=6000,15004000=20	15004000=20	15004000=20	15004000=20	15004000=20	15004000=20	15004000=20	15004000=20
12	16	20	15001000=5000,15004000=5	15001000=7000,15004000=10	15001000=9000,15004000=13	15001000=10000,15004000=14	15001000=11000,15004000=15	15001000=13000,15004000=17	15001000=6000,15004000=20	15004000=20	15004000=20	15004000=20	15004000=20	15004000=20	15004000=20	15004000=20
13	21	25	15001000=5000,15004000=5	15001000=7000,15004000=10	15001000=9000,15004000=13	15001000=10000,15004000=14	15001000=11000,15004000=15	15001000=13000,15004000=17	15001000=6000,15004000=20	15004000=20	15004000=20	15004000=20	15004000=20	15004000=20	15004000=20	15004000=20
14	26	30	15001000=5000,15004000=5	15001000=7000,15004000=10	15001000=9000,15004000=13	15001000=10000,15004000=14	15001000=11000,15004000=15	15001000=13000,15004000=17	15001000=6000,15004000=20	15004000=20	15004000=20	15004000=20	15004000=20	15004000=20	15004000=20	15004000=20
15	31	40	15001000=5000,15004000=5	15001000=7000,15004000=10	15001000=9000,15004000=13	15001000=10000,15004000=14	15001000=11000,15004000=15	15001000=13000,15004000=17	15001000=6000,15004000=20	15004000=20	15004000=20	15004000=20	15004000=20	15004000=20	15004000=20	15004000=20
16	41	50	15001000=5000,15004000=5	15001000=7000,15004000=10	15001000=9000,15004000=13	15001000=10000,15004000=14	15001000=11000,15004000=15	15001000=13000,15004000=17	15001000=6000,15004000=20	15004000=20	15004000=20	15004000=20	15004000=20	15004000=20	15004000=20	15004000=20
17	51	100							15001000=6000,15004000=20							15004000=20
18	101	200							15001000=6000,15004000=20							15004000=20
19	201	300							15001000=6000,15004000=20							15004000=20
20	301	400							15001000=6000,15004000=20							15004000=20
21	401	500							15001000=6000,15004000=20							15004000=20
