ID	FOR_OBJECT	FOR_OBJECT_TYPE	PRIZEPOOL	#策划视图										
17001001 	材料配置	1	15034000=92=7;15036000=8=4	宠物抛出物品										
17001002 	材料配置	1	15005000=78=5;15011000=22=10											
17001003 	材料配置	1	15001000=78=800;15001000=19=1200;15001000=3=2500	金币										
17001004 	材料配置	1	15005000,15011000=70=3;15015000,15017000=30=1											
17001005 	材料配置	1	15005000=100=1											
17001006 	材料配置	1	15001000=78=800;15001000=19=1200;15001000=3=2500											
17001007 	材料配置	1	15001000=78=800;15001000=19=1200;15001000=3=2500											
17001008 	材料配置	1	15001000=78=800;15001000=19=1200;15001000=3=2500	关卡城建材料掉落										
17001009 	材料配置	1	15111000=10=1;15112000=10=1;15113000=10=1;15115000=10=1;15116000=10=1;15117000=10=1;15118000=10=1;15119000=10=1;15120000=10=1;15121000=10=1											
17002001 	装备配置	2	14003001=70=1;14006001=20=1;14015001=10=1											
17002002 	装备配置	2	14001001=30=1;14004001=40=1;14016001=30=1											
17002003 	装备配置	2	14002001=50=1;14017001=50=1											
17002004 	装备配置	2	14026001=35=1;14018001=65=1											
17002005 	装备配置	4	14003001=30=1;14006001=30=1;14008001=40=1	金币1										
17002006 	装备配置	4	14007001=50=1;14004001=50=1	金币2										
17002007 	装备配置	4	14005001=50=1;14004001=50=1	金币3										
17002008 	装备配置	4	14003001=25=1;14015001=25=1;14018001=25=1;14016001=25=1	金币十连1										
17002009 	装备配置	4	14021001=50=1;14023001=50=1	金币十连2										
17002010 	装备配置	4	14019001=50=1;14028001=50=1	金币十连3										
17002011 	装备配置	4	14019001=50=1;14028001=50=1	钻石1										
17002012 	装备配置	4	14017001=50=1;14002001=50=1	钻石2										
17002013 	装备配置	4	14019001=50=1;14005001=50=1	钻石3										
17002014 	装备配置	4	14019001=50=1;14028001=50=1	钻石十连1										
17002015 	装备配置	4	14017001=50=1;14002001=50=1	钻石十连2										
17002016 	装备配置	4	14019001=50=1;14005001=50=1	钻石十连3										
17003001 	宠物配置	3	130010011=25=1;130050011=25=1;130020011=10=1;130080011=10=1;130140011=10=1;130160011=10=1;130120011=10=1											
17003002 	宠物配置	3	130020011=100=1											
17003003 	宠物配置	3	130120011=100=1											
17003004 	宠物配置	3	130160011=50=1;130170011=50=1											
17003005 	宠物配置	4	15041000=20=10;15042000=20=3;130010011=40=1;130050011=20=1	宠物金币第一个奖池										
17003006 	宠物配置	4	130020011=50=1;130080011=50=1	宠物金币第二个奖池										
17003007 	宠物配置	4	130170011=50=1;130110011=50=1	宠物金币第三个奖池										
17003008 	宠物配置	4	130140011=40=1;130160011=40=1;130120011=20=1	宠物钻石一										
17003009 	宠物配置	4	130220011=50=1;130170011=50=1	宠物钻石二										
17003010 	宠物配置	4	130220011=80=1;130170011=20=1	宠物钻石三										
17004001 	混合型-服务端测试	4	15001000=45=800;14002001=45=1;130080011=5=1;130110011=5=1	混合奖池										
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
