ID	ALL_GOODS	NAME	ICON
16001000 	15050000=5,15047000=10	宠物礼品包	Lp_csymts_icon
16002000 	15039000=50,15040000=50,15041000=50,15042000=50	宠物礼品包	Lp_csymts_icon
16003000 	15004000=88,15001000=20000,15040000=5	新手注册礼包	
16004000 	15004000=200,130010011=1	问卷调查礼包	
16005000 	15001000=50000,15004000=100,130080011=1	冲级游戏礼包	
16006000 	15040000=20,15001000=2000	封测第一天礼包	
16007000 	15004000=100,130140011=1	封测第二天礼包	
16008000 	15004000=300,14007001=1	封测第三天礼包	
16009000 	15041000=20,15001000=5000	封测第四天礼包	
16010000 	15042000=20,14003001=5	封测第五天礼包	
16011000 	15045000=5,15001000=20000,15004000=100	Q群礼包	
16012000 	15044000=3,15001000=20000,15004000=100	微信礼包	
16013000 	15004000=200	贴吧礼包	
16014000 	15001000=10000,15041000=3,15004000=300	BUG建议礼包	
16015000 	15004000=400	封测第六天礼包	
16016000 	15004000=500,14003001=3	封测第七天礼包	
16017000 	15004000=800,14026001=1	封测第八天礼包	
16018000 	15001000=20000	在线1分钟奖励	
16019000 	15004000=10	在线5分钟奖励	
16020000 	15001000=60000	在线10分钟奖励	
16021000 	15004000=15	在线30分钟奖励	
16022000 	15004000=20	在线60分钟奖励	
16023000 	15001000=10000,15004000=50,15043000=5	好评礼包	
16024000 	15001000=50000,15048000=5	新手礼包	
16025000 	15004000=100,15001000=50000,15049000=3	进阶礼包	
