ID	NAME	LONG	WIDTH	MODEL	BUILDING_DESC	MAXEXIST	UPDIAMONDS	UPGOLD	METERIAL	ADDSC_PEN	SPEED	MAXGOLD	CAPACITY	GOLD_BUY	DIAMONDS_BUY	INTEGRAL_BUY	OPEN_TYPE	BUILDING_ICON	ACCOUNT_LV	POSITION	ROTATION	BUILDING_NAME_POSITION		
11001001 	娃娃机枢纽	5	5	scenes_construction_hub01	主城，可传送角色至关卡，可升级用于解锁新建筑。最大等级5级,等级越高结算加成越高。	1		1000		0.03				100			1	SHOP_hub01_icon	1	3;-12;9	17;150;-9	0;12;0		
11001002 	娃娃机枢纽	5	5	scenes_construction_hub01a	主城，可传送角色至关卡，可升级用于解锁新建筑。最大等级6级,等级越高结算加成越高。	1		2000	15005000=5;15008000=5;15011000=5	0.06							1	SHOP_hub01_icon	1	3;-12;9	17;150;-9	0;17;0		
11001003 	娃娃机枢纽	5	5	scenes_construction_hub01b	主城，可传送角色至关卡，可升级用于解锁新建筑。最大等级7级,等级越高结算加成越高。	1		3000	15005000=10;15008000=10;15011000=10	0.09							1	SHOP_hub01_icon	3	3;-12;9	17;150;-9	0;18;0		
11001004 	娃娃机枢纽	5	5	scenes_construction_hub01c	主城，可传送角色至关卡，可升级用于解锁新建筑。最大等级8级,等级越高结算加成越高。	1	40		15005000=20;15008000=20;15011000=20	0.12							1	SHOP_hub01_icon	3	3;-12;9	17;150;-9	0;18;0		
11001005 	娃娃机枢纽	5	5	scenes_construction_hub01d	主城，可传送角色至关卡，可升级用于解锁新建筑。最大等级9级,等级越高结算加成越高。	1	50		15005000=25;15008000=25;15011000=25	0.15							1	SHOP_hub01_icon	5	3;-12;9	17;150;-9	0;19;0		
11002001 	游戏币小屋	3	3	scenes_construction_coinmachine01	娃娃机，掌握核心生产技术，等级越高产量越高，效率越快	3		1000			5	2000			20		1	SHOP_coinmachine01_icon	1	1.2;-11.5;1.5	11;140;-10	0;14;0		
11002002 	游戏币小屋	3	3	scenes_construction_coinmachine01a	娃娃机，掌握核心生产技术，等级越高产量越高，效率越快	3		2000	15005000=5;15008000=5;15011000=5		6	2200					1	SHOP_coinmachine01_icon	1	1.2;-11.5;1.5	11;140;-10	0;13;0		
11002003 	游戏币小屋	3	3	scenes_construction_coinmachine01b	娃娃机，掌握核心生产技术，等级越高产量越高，效率越快	3		3000	15005000=10;15008000=10;15011000=10		7	2400					1	SHOP_coinmachine01_icon	1	1.2;-11.5;1.5	11;140;-10	0;13;0		
11002004 	游戏币小屋	3	3	scenes_construction_coinmachine01c	娃娃机，掌握核心生产技术，等级越高产量越高，效率越快	3	40		15005000=20;15008000=20;15011000=20		8	2600					1	SHOP_coinmachine01_icon	1	1.2;-11.5;1.5	11;140;-10	0;15;0		
11002005 	游戏币小屋	3	3	scenes_construction_coinmachine01d	娃娃机，掌握核心生产技术，等级越高产量越高，效率越快	3	50		15005000=25;15008000=25;15011000=25		9	2800					1	SHOP_coinmachine01_icon	1	1.2;-11.5;1.5	11;140;-10	0;16;0		
