ID	ScenesId	DIALOG	TYPE	ScenesIcon	BASE	Starts	Name	Coordinate	Rotation	StarsTaskID	CupTaskID	Level_Desc	NEED_POWER_ATK	LIGHT_USE	SCENE_BG	
101001	Level_S_1	5001,5002,5003,5004,5005,5006,5007	1		1	0	第1关	9.42;-0.7;-4.55	0;90;0	112001	113002;113003;113010;113016;113020;113006	一星:通关当前关卡;二星:得分:10000;三星:得分:16000	111	1	screenshot_beach	
101002	Level_S_2	5008,5009,5010,5011,5012,5013,5014,5015	1		1	0	第2关	10.93;-0.7;-1.18	0;90;0	112002	113009;113017;113022;113040;113025;113006	一星:通关当前关卡;二星:得分:24000;三星:得分:48000	222	1	screenshot_beach	
101003	Level_S_3	5016,5017,5018,5019,5020,5021,5022	1		1	0	第3关	7.51;-0.7;0.85	0;90;0	112003	113045;113025;113030;113022;113037;113006	一星:通关当前关卡;二星:得分:20000;三星:得分:40000	333	1	screenshot_beach	
101004	Level_S_4	5023,5024,5025,5026,5027	1		1	0	第4关	10.52;-0.7;3.61	0;90;0	112004	113032;113033;113031;113041;113040;113006	一星:通关当前关卡;二星:得分:24000;三星:得分:48000	555	1	screenshot_beach	
101005	Level_S_5	5028,5029,5030,5031,5032,5033	1		1	0	第5关	7.98;-0.7;6.09	0;90;0	112005	113029;113034;113035;113042;113022;113006	一星:通关当前关卡;二星:得分:20000;三星:得分:40000	888	1	screenshot_beach	
102001	Level_S_6	-1	1		1	0	第1关	9.42;-0.7;-4.55	0;90;0	112006	113009;113049;113035;113046;113002;113006	一星:通关当前关卡;二星:得分:24000;三星:得分:48000	111	1	screenshot_beach	
102002	Level_S_7	-1	1		1	0	第2关	10.93;-0.7;-1.18	0;90;0	112007	113036;113047;113037;113032;113042;113006	一星:通关当前关卡;二星:得分:20000;三星:得分:40000	222	1	screenshot_beach	
102003	Level_S_8	-1	1		1	0	第3关	7.51;-0.7;0.85	0;90;0	112008	113009;113053;113050;113022;113042;113006	一星:通关当前关卡;二星:得分:24000;三星:得分:48000	333	1	screenshot_beach	
102004	Level_S_9	-1	1		1	0	第4关	10.52;-0.7;3.61	0;90;0	112009	113009;113017;113053;113009;113025;113006	一星:通关当前关卡;二星:得分:20000;三星:得分:40000	555	1	screenshot_beach	
102005	Level_S_10	5034,5035,5036,5037,5038	1		1	0	第5关	7.98;-0.7;6.09	0;90;0	112010	113014;113054;113048;113029;113055;113006	一星:通关当前关卡;二星:得分:24000;三星:得分:48000	888	1	screenshot_beach	
103001	Level_S_11	-1	1		1	0	第1关	9.42;-0.7;-4.55	0;90;0	112011	113029;113035;113056;113057;113022;113006	一星:通关当前关卡;二星:得分:20000;三星:得分:40000	111	1	screenshot_beach	
103002	Level_S_12	-1	1		1	0	第2关	10.93;-0.7;-1.18	0;90;0	112012	113003;113051;113053;113020;113043;113006	一星:通关当前关卡;二星:得分:24000;三星:得分:48000	222	1	screenshot_beach	
103003	Level_S_13	-1	1		1	0	第3关	7.51;-0.7;0.85	0;90;0	112013	113039;113051;113020;113028;113053;113006	一星:通关当前关卡;二星:得分:20000;三星:得分:40000	333	1	screenshot_beach	
103004	Level_S_14	-1	1		1	0	第4关	10.52;-0.7;3.61	0;90;0	112014	113059;113038;113052;113028;113045;113006	一星:通关当前关卡;二星:得分:24000;三星:得分:48000	555	1	screenshot_beach	
103005	Level_S_15	5039,5040,5041,5042,5043,5044	1		1	0	第5关	7.98;-0.7;6.09	0;90;0	112015	113002;113058;113025;113050;113044;113006	一星:通关当前关卡;二星:得分:20000;三星:得分:40000	888	1	screenshot_beach	
777001	Level_T_1	-1	1		1	0	教学关									
201001	Level_S_16															
201002	Level_S_17															
201003	Level_S_18															
201004	Level_S_19															
201005	Level_S_20															
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
