ID	NAME	BASE	SPEED	TYPE	HP_USE	ROLL	SEASON	PREFAB				
1	1001100	1	8	1	0.75	1	100	1001100				
2	1001101	1	8	2	0.75	1	100	1001101				
3	1001102	1	8	1	0.75	1	100	1001102				
4	1001103	1	8	2	0.75	1	100	1001103				
5	1001019	1	8	1	0.75	1	100	1001019				
6	1001020	1	8	2	0.75	1	100	1001020				
7	1001021	1	8	1	0.75	1	100	1001021				
8	1001022	1	8	2	0.75	1	100	1001022				
9	1001001	1	9	3	0.85	3	100	1001001				
10	1001004	1	9	3	0.85	3	100	1001004				
11	1001008	1	9	3	0.85	3	100	1001008				
12	1001010	1	9	3	0.85	3	100	1001010				
13	1001011	1	9	3	0.85	3	100	1001011				
14	1001012	1	9	3	0.85	3	100	1001012				
15	1001026	1	9	3	0.85	3	100	1001026				
16	1001027	1	9	3	0.85	3	100	1001027				
17	1001028	1	9	3	0.85	3	100	1001028				
18	1001002	1	10	4	0.95	6	100	1001002				
19	1001005	1	10	4	0.95	6	100	1001005				
20	1001006	1	10	4	0.95	6	100	1001006				
21	1001013	1	10	4	0.95	6	100	1001013				
22	1001014	1	10	4	0.95	6	100	1001014				
23	1001015	1	10	4	0.95	6	100	1001015				
24	1001023	1	10	4	0.95	6	100	1001023				
25	1001024	1	10	4	0.95	6	100	1001024				
26	1001025	1	10	4	0.95	6	100	1001025				
27	1001003	1	12	5	1.2	-1	100	1001003				
28	1001007	1	12	5	1.2	-1	100	1001007				
29	1001009	1	12	5	1.2	-1	100	1001009				
30	1001016	1	12	5	1.2	-1	100	1001016				
31	1001017	1	12	5	1.2	-1	100	1001017				
32	1001018	1	12	5	1.2	-1	100	1001018				
33	1001029	1	12	5	1.2	-1	100	1001029				
34	1001030	1	12	5	1.2	-1	100	1001030				
35	1001031	1	12	5	1.2	-1	100	1001031				
