ID	NAME	EQUIPMENTDESC	TYPE	TODRESSID	TOPETID	RANK	UPGOLD	UPRATE	UPDIAMOND	ADDHP	ADDITEMR	SLOWHP	ELFSOCRE	ADDATKSC	ADDSC	ADDEXP	ADDGOLD	TWOJUMPSOCRE	MOREJUMPSOCRE	SUBATKDMG	SUBDROPDMG	MISATKDMG	ADDSUCKHP	ADDSUCKTIME	ADDGODTIME	LIGHT_PE	TASK_PE	ENERGY	ENERGYJUMP	DIAMOND_PE	ADDJUMP	MATERIAL	ATK	CDDOWM	SPEED	NOTE	SPTINT	VOLPLANE	NEVER	JUMPTIME	SKILLBUFF	EQUIPMENT_ICON													
14001001 	运动饮料	额外增加12点体力	2			A	5800	0.86	24	12																																Zb_ydyl_icon													
14001002 	运动饮料	额外增加13点体力	2			A	6800	0.76	36	13																																Zb_ydyl_icon													
14001003 	运动饮料	额外增加14点体力	2			A	7800	0.66	48	14																																Zb_ydyl_icon													
14001004 	运动饮料	额外增加15点体力	2			A	8800	0.56	60	15																																Zb_ydyl_icon													
14001005 	运动饮料	额外增加16点体力	2			A	9800	0.46	72	16																																Zb_ydyl_icon													
14001006 	运动饮料	额外增加17点体力	2			A	10800	0.36	84	17																																Zb_ydyl_icon													
14001007 	运动饮料	额外增加18点体力	2			A	11800	0.26	96	18																																Zb_ydyl_icon													
14001008 	运动饮料	额外增加19点体力	2			A	12800	0.16	108	19																																Zb_ydyl_icon													
14001009 	运动饮料	额外增加21点体力	2			A	13800	0.1	120	21																																Zb_ydyl_icon													
14001010 	运动饮料	额外增加23点体力	2			A				23																																Zb_ydyl_icon													
14002001 	维他命	额外增加15点体力	2			S	10800	0.82	36	15																																Zb_wtm_icon													
14002002 	维他命	额外增加16点体力	2			S	13300	0.72	54	16																																Zb_wtm_icon													
14002003 	维他命	额外增加17点体力	2			S	15800	0.62	72	17																																Zb_wtm_icon													
14002004 	维他命	额外增加18点体力	2			S	18300	0.52	90	18																																Zb_wtm_icon													
14002005 	维他命	额外增加20点体力	2			S	20800	0.42	108	20																																Zb_wtm_icon													
