ID	CONFIG1	CONFIG2	CONFIG3	CONFIG4	CONFIG5	CONFIG6				
1001	4	2	0;10;20;30;40;50;60							
1002	5	100;200;500;1000;2000	5	3	20;25;30;35;40;50	1;1.2;1.4;1.8				
1003	10	10	20;60;120;200;300;420;560;720;900;1100							
1004	6	10								
1005	0;1.1;1.86	21;-90;0	1;1;1	40	0.3	1000				
1006	36.7;76.6;-32	44;-44;0.006	1;1;1	50	0.3	1000				
1007	21.8;2.3;0	0;-90;0	2;1;1	27	1.83	1000				
1008	0;1.1;1.86	21;-90;0	1;1;1	40	0.3	1000				
1009	6888	12000	5	1	2	1	10	0.1	0.03	1
1010	20	30	100	20	2	1	10	0.1	0.03	1
1011	3	15								
