ID	CHAR_ID	PLACE	CONTENT
1001	999	0	这是哪里？
1002	13016	1	你好！我是呆呆狸，村长助理。
1003	999	0	(⊙▽⊙)你……你不是娃娃机里的那个……
1004	13016	1	欢迎来到伊格德拉修娃娃机世界！
1005	999	0	/(ㄒoㄒ)/~~我想回家
1006	13016	1	嘿，别想这么多，先跑起来再说！Let's Rock！
2001	13016	1	哇塞！你好腻害啊，这些技能我都学了一个月！
2002	999	0	…...-_-|||，可以吐槽吗？
2003	13016	1	骨骼惊奇的少年配得上我的宝物。快去领任务奖励吧~
2004	999	0	(￢_￢)这又是谁？
2005	13016	1	我来介绍下，小伙伴哈比，单身喵一枚，梦中情人是隔壁夏叔叔的女儿夏露露
2006	13001	0	呆呆狸你别老是暴露我啊~喵~
2007	13016	1	总之，哈比酱是我们这里很厉害的萌宠！有他跟着你可以让你的旅途更加精彩和顺利哟！
2008	13016	1	设置队长可以激活队长技能哦！~为了让萌宠有更好的状态，记得要给你的小伙伴送礼物哦。
2009	13001	0	我是为同伴而拼命的单身喵！死神都惧怕的单身喵！ (⊙▽⊙)
2010	13016	1	喉啦喉啦~带上哈比，出发！
2011	13016	1	好啦，新朋友，我能教的你都学会啦。
2012	999	0	谁要学这些啦！我只想知道怎么回家！
2013	13016	1	这个嘛-。-大概只有镇长能回答你的问题了。
2014	999	0	快带我去找镇长。
2015	13001	0	我来带路！
2016	13016	1	我在村长家等你们哦。
3001	13016	1	我们来学习下生存技能吧~
3002	13016	1	点击跳跃按钮跳跃
3003	13016	1	点击左键攻击
3004	13016	1	再次点击跳跃完成二段跳
3005	999	0	上有坏蛋，下有沟沟，额~肯定难不倒你~
3006	13016	1	按住“跳跃”按钮别放，这样你就能滑翔过去了，这可是本喵的独门绝学，喵~
3007	13016	1	你有没有注意到左上方的体力条，喵？
3008	13016	1	它会随着时间流逝慢慢减少，喵~
3009	13016	1	当你碰触到怪物或者掉落悬崖的时候会损失大量体力，喵~
3010	13016	1	当体力见底的时候……你就……跑！不！动！啦！(～￣▽￣)～喵~
3011	13016	1	哇哦！这是个体力补充药剂，走过路过千万不要错过，喵~
3012	13016	1	跳上高台视野更开阔，风景更美丽哦~
3013	999	0	这阵容真够震撼的，现在该怎么办啊(⊙﹏⊙)
3014	13016	1	下面有请我最强大的朋友！就是你啦！皮神！！
4001	13016	1	恭喜勇士，夺宝奇兵已经开启。
4002	13016	1	占领据点就能收获夺宝币，夺宝币可以在商城中换取资源哦。
4003	13016	1	记得派萌宠驻守，可以提升收益呢。
4004	13016	1	恭喜勇士，天梯排行已经开启。
4005	13016	1	快来与小伙伴 一决高下吧。
4006	13016	1	最强王者的荣誉等你摘取哦。
4007	13016	1	恭喜勇士，开启装备啦。
4008	13016	1	快给心爱的套装配上装备吧。
4009	13016	1	可以大大提升你的实力哦。
4010	13016	1	恭喜勇士，开启坐骑。
4011	13016	1	可爱的姑娘~等等我的小马驹。
4012	13016	1	恭喜勇士，任务系统已开启。
4013	13016	1	完成任务可获得丰厚奖励哦。
4014	13016	1	每日任务将会每天刷新，走过路过别错过啦。
4015	13016	1	恭喜勇士，问卷调查已开启，完成答题可以获得丰厚奖励哦。
4016	13016	1	您的回答将对咱们小镇有重大的影响。
4017	13016	1	打完问卷可以获得丰厚礼品哦。
5001	13016	1	你们终于来啦，我都快等睡着了。
5002	13001	0	村长，快出来接客啦！
5003	13005	1	你这小子就是没个正经。
5004	999	0	村长，这到底是怎么回事啊？
5005	13005	1	你就是被召唤的勇士啊，果然气质不凡。
5006	999	0	召唤？村长，这到底是怎么回事啊？
5007	13005	1	请听我慢慢说来……
5008	13005	1	孩子们，先给勇士介绍一下我们的伊格德拉修娃娃机世界吧。
5009	13016	1	咳咳咳……现在你所在的就是伊格德拉修娃娃机世界。
5010	13001	0	伊格德拉修娃娃机世界是娃娃机里面真实存在着的世界哦，虽然大家都不知道。
5011	999	0	,,???,,说重点……
5012	13016	1	人们玩娃娃机时投下的代币提供生命之源无穷的力量，这是我们生活之本。
5013	13001	0	但是娃娃机坏了，没人玩了，生命之源没力量了，我们活不下去了(T_T)
5014	13005	1	嗯……所以你就被召唤来了
5015	999	0	……
5016	999	0	可为什么是我呀？
5017	13001	0	最近你是唯一一个投币的呀。
5018	13016	1	别瞎说……选勇士哪有这么随便的。
5019	13005	1	额……还真是……
5020	999	0	(◎﹏◎)
5021	13005	1	当然还必须是善良、勇敢的孩子才有机会，所以也没那么随便吧……
5022	999	0	这个解释并没有安慰作用。
5023	999	0	村长，你一定知道让我回家的办法对吧。
5024	13005	1	这个嘛-。-
5025	999	0	村长……
5026	13016	1	不是有宝典嘛，村长快去翻翻啊。
5027	13005	1	对对对
5028	13001	0	在很久很久以前……
5029	13016	1	别捣乱
5030	13005	1	娃娃之神在神秘大陆封印了宝藏，找到宝藏就能拯救生命之源。
5031	999	0	然后呢……
5032	13005	1	没了。
5033	13016	1	也许生命之源恢复了你就能回去了呢。
5034	13001	0	神秘大陆哎，听起来就好兴奋哦。
5035	999	0	那就让我们去一探究竟。
5036	13005	1	宝典里对于神秘大陆的记载也少得可怜，勇士此去要万分小心啊。
5037	13016	1	村长年事已高，小镇的日常事务离不开人，恐怕我不能一起去了。
5038	13001	0	没事！这不是我有吗？太激动了！
5039	13005	1	请你一定要帮帮我们啊！眼看小镇日益衰败，我……
5040	999	0	村长，你放心吧，我会尽力的。
5041	13016	1	哈比！这一路上你可千万要照顾好我们的勇士啊。
5042	13001	0	包在我身上。
5043	999	0	还不知道谁照顾谁呢。
5044	13001	0	出发咯！
