ID	BUTTON		CONTENT_ID	MAINID	LEVELID	OPENTYPE	
1			1001,1002,1003,1004,1005,1006				
2				3	1		
3			2001,2002,2003	4			
4	Building_Task	点击任务		4			
5	TaskSystemUI(Clone)/Wnd/ScrollView/Grid/8/getState	领取奖励		9			
6	CommonRewardItemsGetUI(Clone)/UI/CommonRewardItemsGetUI_OKBtn	确定领取		9			
7		对话	2004,2005,2006,2007	9			
8	TaskSystemUI(Clone)/Top/TaskSystemUI_back	返回主界面按钮		9			
9	Building-UI(Clone)/UI/UIGame/RightDown/BtnTurn/buildBtns/v/BtnRes_Building-UI*2	点击宠物按钮		24			
10	PetMainUI(Clone)/UI/PetMainUI_petPanel/PetMainUI_items/PetMainUI_itemsGrid/1/SeletePetIcon	选择哈比		24			
11	PetMainUI(Clone)/UI/title/PetMainUI_joinBtn	点击上场		24			
12	PetMainUI(Clone)/UI/title/PetMainUI_info/1/icon/join/DuizhangButton	设置队长		24			
13		对话	2008	24			
14	PetMainUI(Clone)/UI/PetMainUI_petPanel/PetMainUI_chengzhang	点击成长		24			
15	PetFunctionUI(Clone)/UI/title/PetShenji/myGiftItems/myGiftItemsGrid/petExpItemsBuy_15039000	选择小鱼罐头		24			
16	PetFunctionUI(Clone)/UI/title/PetShenji/myGiftItems/myGiftItemsGrid/petExpItemsBuy_15039000	选择小鱼罐头		24			
17	PetFunctionUI(Clone)/UI/title/PetShenji/myGiftItems/myGiftItemsGrid/petExpItemsBuy_15039000	选择小鱼罐头		24			
18	PetFunctionUI(Clone)/UI/title/PetShenji/myGiftItems/myGiftItemsGrid/petExpItemsBuy_15039000	选择小鱼罐头		24			
19	PetFunctionUI(Clone)/UI/title/PetShenji/myGiftItems/myGiftItemsGrid/petExpItemsBuy_15039000	选择小鱼罐头		24			
20		对话	2009,2010	24			
21	PetFunctionUI(Clone)/UI/PetFunction_close	返回主界面按钮		24			
22		对话	2011,2012,2013,2014,2015,2016	24			
23	PetMainUI(Clone)/UI/PetMainUI_close	返回主菜单		24			
24	Building-UI(Clone)/UI/UIGame/RightDown/BtnTurn/buildBtns/v/BtnRunning_Building-UI	点击跑酷					
25	SelectModeView(Clone)/UI/Scroll*View/Grid/ItemSeletModel_1	选择剧情		26			
							
							
							
							
							
							
							
							
							
							
							
							
