ID	MATERIAL_TYPE	NAME	MATERIALDESC	BASICSCORE	GOLD_VALUE	FUSE	ADDHP	ADD_PET_EXP	ADD_EXP	LOTTERY_ID	SET_PACKAGE	MATERIAL_ICON	MATERIAL_MODEL	CLASSNAME	COME_FROM	EFFECT	SKILL_ID	holy																				
15001000 	1	金币	可用来购买很多东西	50	150							jinbi	coins			ef_prop_prop	-1																					
15002000 	1	大金币	可用来购买很多东西	50	150								coin_bigscenes_common_tools07			ef_prop_gold	-1		1																			
15003000 	1	钻石碎片	可用来购买很多东西	10													-1																					
15004000 	1	钻石	可用来购买很多东西	0		15003000=20						zuanshi					-1		1																			
15005000 	2	小石子	可用来购买很多东西	0								Cl_xshizi_icon	rock01lua		101001		-1		1																			
15006000 	2	大石块	可用来购买很多东西	0		15005000=20						Cl_dsk_icon	rock01alua				-1		1																			
15007000 	2	金刚石	可用来购买很多东西	0		15006000=20						Cl_jgs_icon	rock01blua				-1		1																			
15008000 	2	小树枝	可用来购买很多东西	0								Cl_xshuzhi_icon			101001		-1		1																			
15009000 	2	木片	可用来购买很多东西	0		15008000=20						Cl_mp_icon					-1		1																			
15010000 	2	神木树枝	城建基本素材，可建筑小镇	0		15009000=20						Cl_susz_icon					-1		1																			
15011000 	2	铁屑	城建基本素材，可建筑小镇	0								Cl_tx_icon	iron01alua		101002		-1		1																			
15012000 	2	铁板	城建基本素材，可建筑小镇	0		15011000=20						Cl_tb_icon	iron01blua				-1		1																			
15013000 	2	陨铁石	城建基本素材，可建筑小镇	0		15012000=20						Cl_ytk_icon	iron01lua				-1		1																			
15014000 	2	半月宝石	城建基本素材，可建筑小镇	0								Cl_bybs_icon	jewel01alua		101002		-1		1																			
15015000 	2	圆月宝石	城建基本素材，可建筑小镇	0		15014000=20						Cl_yybs_icon	jewel01blua				-1		1																			
15016000 	2	月神宝石	城建基本素材，可建筑小镇	0		15015000=20						Cl_ysbs_icon	jewel01lua				-1		1																			
15017000 	2	小尖牙	城建基本素材，可建筑小镇	0								Cl_xjs_icon	teeth01lua		101003		-1		1																			
15018000 	2	锐利的牙	城建基本素材，可建筑小镇	0		15017000=20						Cl_rldy_icon	teeth01alua				-1		1																			
15019000 	2	神兽的牙	城建基本素材，可建筑小镇	0		15018000=20						Cl_ssdy_icon	teeth01blua				-1		1																			
15020000 	3	普通收集物1	收集的越多越好	50									jewel03a			ef_prop_prop	-1	0.0016	1																			
15021000 	3	普通收集物2	收集的越多越好	50									jewel04a			ef_prop_prop	-1	0.0016	1																			
15022000 	3	音符	天籁之音	1400													-1	0.0016																				
15023000 	3	特殊收集物2	收集的越多越好	70									jewel05a			ef_prop_prop	-1	0.0016	1																			
15024000 	3	特殊收集物3	收集的越多越好	300													-1	0.0016																				
15025000 	3	特殊收集物4	收集的越多越好	300													-1	0.0016																				
15026000 	3	特殊收集物5	收集的越多越好	300													-1	0.0016																				
15027000 	11	刺球	你敢和我碰一下么	0													-1																					
15028000 	4	小黑	敌人	200									blackcat	DynamicEnemy			-1		1																			
15029000 	4	疯兔	敌人	200									MadRabbit	MadRabbitEnemy			-1		1																			
15030000 	11	瓦斯弹	敌人	200									Koffing	KoffingEnemy			-1		1																			
15031000 	11	带刺龟壳	敌人	200									flightTortoise	FlightEnemy			-1																					
15032000 	11	弹跳龟壳	敌人	200									SpringTortoise	SpringEnemy			-1																					
15033000 	4	小帕	敌人	200									SpiritPa	SpiritPaEnemy			-1		1																			
15034000 	5	小体力瓶	回复体力的药剂	5000			10									ef_prop_quan	-1		1																			
