ID	GOODOPINION	UPGOLD	UPDIAMOND	MATERIAL	ADDSC	ADDATKSC	COLLECTIONS_SCORE	ADDHP	SLOWHP												
130010011 	20				0.077	0	4	5													
130010021 	40				0.081	0	5	5													
130010031 	60				0.085	0	5	6													
130010041 	80				0.089	0	5	6													
130010051 	100				0.092	0	6	7													
130010061 	210				0.096	0	6	7													
130010071 	245				0.1	0	7	7													
130010081 	280				0.104	0	7	8													
130010091 	315				0.108	0	7	8													
130010101 	350				0.112	0	8	9													
130010111 	440				0.116	0	8	9													
130010121 	480				0.12	0	9	10													
130010131 	520				0.124	0	9	10													
130010141 	560				0.128	0	9	11													
130010151 	600				0.131	0	10	11													
130010161 	800				0.135	0	10	12													
130010171 	850				0.139	0	10	12													
130010181 	900				0.143	0	11	13													
130010191 	950				0.147	0	11	13													
130010201 	1000				0.151	0	12	13													
130010211 	1260				0.155	0	12	14													
130010221 	1320				0.159	0	12	14													
130010231 	1380				0.163	0	13	15													
130010241 	1440				0.167	0	13	15													
130010251 	1500				0.17	0	14	16													
130010261 	1950				0.174	0	14	16													
130010271 	2025				0.178	0	14	17													
130010281 	2100				0.182	0	15	17													
130010291 	2175				0.186	0	15	18													
130010301 	2250				0.19	0	16	18													
130010311 	2480				0.194	0	16	19													
130010321 	2560				0.198	0	16	19													
130010331 	2640				0.202	0	17	19													
130010341 	2720				0.206	0	17	20													
130010351 	2800				0.209	0	17	20													
130010361 	3240				0.213	0	18	21													
130010371 	3330				0.217	0	18	21													
130010381 	3420				0.221	0	19	22													
130010391 	3510				0.225	0	19	22													
130010401 	3600				0.229	0	19	23													
130010412 	4100				0.28	0	25	29													
130010422 	4200				0.284	0	25	29													
130010432 	4300				0.287	0	25	30													
130010442 	4400				0.291	0	26	30													
130010452 	4500				0.295	0	26	30													
130010462 	5290				0.299	0	26	31													
130010472 	5405				0.303	0	27	31													
130010482 	5520				0.307	0	27	32													
130010492 	5635				0.311	0	28	32													
130010502 	5750				0.315	0	28	33													
130010512 	6375				0.319	0	28	33													
130010522 	6500				0.323	0	29	34													
130010532 	6625				0.326	0	29	34													
130010542 	6750				0.33	0	30	35													
130010552 	6875				0.334	0	30	35													
130010563 	11200				0.385	0	35	41													
130010573 	11400				0.389	0	35	42													
130010583 	11600				0.393	0	36	42													
130010593 	11800				0.397	0	36	42													
130010603 	12000				0.401	0	37	43													
130010613 	15250				0.404	0	37	43													
130010623 	15500				0.408	0	37	44													
130010633 	15750				0.412	0	38	44													
130010643 	16000				0.416	0	38	45													
130010653 	16250				0.42	0	39	45													
130010663 	19800				0.424	0	39	46													
130010673 	20100				0.428	0	39	46													
130010683 	20400				0.432	0	40	47													
130010693 	20700				0.436	0	40	47													
130010703 	21000				0.44	0	41	48													
130010714 	24850				0.49	0	46	53													
130010724 	25200				0.494	0	46	54													
130010734 	25550				0.498	0	46	54													
130010744 	25900				0.502	0	47	55													
130010754 	26250				0.506	0	47	55													
130010764 	30400				0.51	0	48	56													
130010774 	30800				0.514	0	48	56													
130010784 	31200				0.518	0	48	57													
130010794 	31600				0.521	0	49	57													
130010804 	32000				0.525	0	49	58													
130010814 	36450				0.529	0	49	58													
130010824 	36900				0.533	0	50	59													
