ID	NEW_PET	PROBABILITY	PET_1	PET_2	PET_MATERIAL	PROBABILITY_TYPE	GOLD_PRICE	DIAMOND_PRICE	PROBABILITY_PRICE	STAR_MODULUS	EVENTS_START_DATE	EVENTS_END_DATE
101001	130010011	1	13001	13002		1	8888	70,80,90	100	1;1.2;1.3;1.4	2015-08-15 21:00:00	2016-08-15 21:00:00
101002	130020011	1	13016	13017		1	8888	70,80,90	100	1;1.2;1.3;1.4	2015-08-15 21:00:00	2016-08-15 21:00:00
101003	17003001 	1	B	B		2	8888	70,80,90	100	1;1.2;1.3;1.4		
101004	17003001 	0.6	B	A		2	8888	70,80,90	100	1;1.2;1.3;1.4		
101005	17003001 	0.6	B	S		2	8888	70,80,90	100	1;1.2;1.3;1.4		
101006	17003001 	0.6	B	SS		2	8888	70,80,90	100	1;1.2;1.3;1.4		
101007	17003001 	0.6	A	A		2	8888	70,80,90	100	1;1.2;1.3;1.4		
101008	17003001 	0.6	A	S		2	8888	70,80,90	100	1;1.2;1.3;1.4		
101009	17003001 	0.6	A	SS		2	8888	70,80,90	100	1;1.2;1.3;1.4		
101010	17003001 	0.6	S	S		2	8888	70,80,90	100	1;1.2;1.3;1.4		
101011	17003001 	0.6	S	SS		2	8888	70,80,90	100	1;1.2;1.3;1.4		
101012	17003001 	0.6	SS	SS		2	8888	70,80,90	100	1;1.2;1.3;1.4		
