ID	SKILL_NAME	ACTION_ID	SKILL_MAX_LV	SKILL_WEIGHTS	SKILL_BEIZHU_1	SKILL_BEIZHU_PARAMETER	SKILL_BEIZHU_2	LAUCH_TYPE	SKILL_ICON	FIRE_ACTION	CONTINUED_ACTION	HIT_ACTION	ISCAMP	D_F_DISTANCE	TARGET_SHAPE_PARA	TARGET_OBJ_PARA	SKILL_OBJ_NUM	SKILL_SUCCESS_RATE	SKILL_LV	SKILL_CD_TYPE	SKILL_CD	SKILL_CONTINUED_TYPE	SKILL_CONTINUED_LEN	SKILL_GAIN_TYPE	SKILL_GAIN_VALUE	SKILL_NAME_ICON																			
101001	大黄鸭特饮	1003	1	1	开局冲刺200米			4					0	2;0.5;-9|0.5		2	2	1	1			1	5	1																					
101002	强力开局冲刺	1003	1	2	开局冲刺800米			4					0			2	2	1	1			1	8	1																					
101003	磁力鸡尾酒		1	1	全程磁铁效果			4					0		1	5	2	1	1			1	-1	2	-1																				
101004	爱心特调		1	1	死亡时，可以选取接力队员继续奔跑			5					0			2	1	1	1					12																					
101005	体力特饮		1	1	额外增加50点体力			4					0			2	1	1	1					3	50																				
101006	体力延缓		1	1	体力延缓10%			4					0			2	1	1	1			1	-1	4	0.1																				
101007	体力延缓		1	2	体力延缓15%			4					0			2	1	1	1			1	-1	4	0.15																				
101008	减少敌人50%攻击伤害		1	1	减少敌人50%攻击伤害			4					0			2	1	1	1			1	-1	5	0.5																				
101009	坚韧饮料		1	1	开局自带无敌护盾，免疫伤害一次			4					0			2	1	1	1					6																					
101010	黑色星空	1003	1	1	死亡时，可以再次冲刺6秒			2					0	2;0.5;-9|0.5	10	0	2	1	1			1	6	1																					
101011	水果特调		1	1	购买后游戏中所有道具增加持续时间（磁铁，无敌，变大）			4					0			6		1	1			1	-1	7	0.05																				
101012	大黄鸭特饮	1003	1	11	开局冲刺200米			4					0			2	2	1	1			2	200	1																					
101013	强力开局冲刺	1003	1	12	开局冲刺800米			4					0			2	2	1	1			2	800	1																					
101014	磁力鸡尾酒		1	11	全程磁铁效果			4					0		1	5	2	1	1			1	-1	2																					
101015	爱心特调		1	11	死亡时，可以选取接力队员继续奔跑			5					0			2	1	1	1					12																					
101016	体力特饮		1	11	额外增加50点体力			4					0			2	1	1	1					3	50																				
101017	体力延缓		1	11	体力延缓10%			4					0			2	1	1	1			1	-1	4	0.1																				
101018	体力延缓		1	12	体力延缓15%			4					0			2	1	1	1			1	-1	4	0.15																				
101019	减少敌人50%攻击伤害		1	11	减少敌人50%攻击伤害			4					0			2	1	1	1			1	-1	5	0.5																				
101020	坚韧饮料		1	11	开局自带无敌护盾，免疫伤害一次			4					0			2	1	1	1					6																					
101021	黑色星空	1003	1	11	死亡时，可以再次冲刺6秒			2					0	2;0.5;-9|0.5	10	0	2	1	1			1	6	1																					
101022	水果特调		1	11	购买后游戏中所有道具增加持续时间（磁铁，无敌，变大）			4					0			6		1	1			1	-1	7	0.05																				
101023	猫之愤怒		5	1	攻击一定次数自动召唤龙猫坐死敌人并大量得分			1					0		15	3	2	1,1,1,1,1	1,2,3,4,5	2	60,50,40,30,20			8	1000,2000,3000,4000,5000																				
101024	十万伏特	1001	5	1	皮卡丘进入狂暴模式召唤雷电清屏			1					0	0;2;-9|0.5	10	0	2	1,1,1,1,1	1,2,3,4,5	1	45,42,39,36,33	1	5,6,7,8,9	9		shiwanfute																			
101025	剑之刃	1002	5	1	跳向战场，发出迅猛的连续斩击，以凌厉的剑气攻击敌人。			1					0		12	0	2	1,1,1,1,1	1,2,3,4,5	1	40,38,36,34,32	1	1.5	10		jianzhiren																			
101026	好运缠身	1004	5	1	有一定的概率触发好运藏身特效，跳跃产生金币花。			2					0		10	2	1	0.3,0.35,0.4,0.45,0.5	1,2,3,4,5	1	40,38,36,34,32	3	5,5,5,5,5	11		haoyunchanshen																			
101027	无敌护盾		3	1	每隔*秒，会获得一个护盾，护盾可以抵挡一次伤害			2					0			2	1	1,1,1	1,2,3	1	50,40,30			6																					
101028	巨人强化		6	1	每隔一定的时间，角色转换成巨人状态，无视一切障碍物，持续一定时间			2					0			2	1	1,1,1,1,1,1	1,2,3,4,5,6	1	30,30,30,30,30,30	1	7,7.3,7.6,7.9,8.2,8.5	13																					
101029	游戏龙冲刺	1003	1	1	默认冲刺时间6秒			2					0	2;0.5;-9|0.5	10	0	2	1	1			1	6	1																					
101030	磁铁	1005	5	1	每隔一定时间生成一个磁铁			2					0			0	1	1,1,1,1,1	1,2,3,4,5	1	40,38,36,34,32			14	15036000	citie																			
101031	银币冲击波	1006	1	1	范围内所有怪物变银币			2					0		10	3	2	1	1			2	10	15	coinGroup.json																				
101032	额外奖励	1007	5	1	用神秘力量改变收集物属性，加速神圣能量累积			1					5		10	5	2	1,1,1,1,1	1,2,3,4,5	1	52,49,,46,43,40	1	10	16	15132000	haoyunchanshen																			
101033	身体很重要	1008	5	1	每隔*秒，会获得一个体力瓶，获得生命回复			1					0			2	1	1,1,1,1,1	1,2,3,4,5	1	40,38,36,34,32			17	15035000																				
101034	无敌护盾	1009	5	1	每跳跃*次，会获得一个护盾，护盾可以抵挡一次伤害			1					0			2	1	1,1,1,1,1	1,2,3,4,5	4	60,55,50,45,40			18	15037000																				
