ID	RANK	SKILL_NAME	SKILL_DESC	SKILL_SKILL	SKILL_START	SKILL_80	SKILL_END	PET_B_EXP	PET_A_EXP	PET_S_EXP	PET_SS_EXP	STAR_MODULUS	UP_SKILL_GOLD	UP_SKILL_DIAMIND	ZHU_PET_MODULUS
101001	B	杀怪额外增加830分	杀怪额外增加*分	ADD_ATK_SCORE	10	666	830	82	102.5	117.15	164	1;1.5;3;5;7	1000	20	1;1.1;1.2;1.3
102001	A	掉坑恢复体力	掉坑恢复体力*	SAVE_ADD_HP	5	41	50	2.25	2.82	4.5	6.43	1;1.5;3;5;7	1000	20	1;1.1;1.2;1.3
103001	S	抛洒收集物	抛洒收集物冷却时间*	CD_TIME	40	16	10	-1	-1.2	-2	-3	1;1.5;3;5;7	1000	20	1;1.1;1.2;1.3
104001	SS	救起玩家给玩家一个无敌盾，时间待定义	救起玩家给玩家一个无敌盾，冷却时间*	SUSTAINED_TIME	8	17.6	20	0.27	0.4	0.6	0.8	1;1.5;3;5;7	1000	20	1;1.1;1.2;1.3
105001	B	杀怪额外增加830分	杀怪额外增加*分	SKILL_ADD_ATK_SCORE	10	666	830	82	102.5	117.15	82	1;1.5;3;5;7	1000	20	1;1.1;1.2;1.3
106001	B	杀怪额外增加830分	杀怪额外增加*分	ADD_ATK_SCORE	10	666	830	82	102.5	117.15	82	1;1.5;3;5;7	1000	20	1;1.1;1.2;1.3
107001	B	杀怪额外增加830分	杀怪额外增加*分	ADD_ATK_SCORE	10	666	830	82	102.5	117.15	82	1;1.5;3;5;7	1000	20	1;1.1;1.2;1.3
108001	A	额外增加95点体力	额外增加*点体力	ADD_HP	5	77	95	4.5	5.63	9	12.86	1;1.5;3;5;7	1000	20	1;1.1;1.2;1.3
109001	A	杀怪额外增加1000分	杀怪额外增加*分	ADD_ATK_SCORE	10	802	1000	49.5	61.88	99	141.43	1;1.5;3;5;7	1000	20	1;1.1;1.2;1.3
110001	A	额外增加90点体力	额外增加*点体力	ADD_HP	10	74	90	4	5	8	11.43	1;1.5;3;5;7	1000	20	1;1.1;1.2;1.3
111001	A	额外增加95点体力	额外增加*点体力	ADD_HP	10	78	95	4.25	5.32	8.5	12.15	1;1.5;3;5;7	1000	20	1;1.1;1.2;1.3
112001	A	杀怪额外增加995分	杀怪额外增加*分	ADD_ATK_SCORE	10	798	995	49.25	61.57	98.5	140.72	1;1.5;3;5;7	1000	20	1;1.1;1.2;1.3
113001	A	额外增加收集物75分	额外增加收集物*分	ADD_COLLECTIONS_SCORE	5	61	75	3.5	4.38	7	10	1;1.5;3;5;7	1000	20	1;1.1;1.2;1.3
114001	A	得分表现增加77.65%	得分表现增加*	ADD_SCORE_PEN	0.01	0.6232	0.7765	0.04	0.05	0.08	0.11	1;1.5;3;5;7	1000	20	1;1.1;1.2;1.3
115001	S	杀怪额外增加1160分	杀怪额外增加*分	ADD_ATK_SCORE	10	930	1160	25.56	38.34	57.5	76.67	1;1.5;3;5;7	1000	20	1;1.1;1.2;1.3
116001	S	额外增加体力105	额外增加体力*	ADD_HP	10	86	105	2.12	3.17	4.75	6.34	1;1.5;3;5;7	1000	20	1;1.1;1.2;1.3
117001	S	额外增加收集物90分	额外增加收集物*分	ADD_COLLECTIONS_SCORE	5	73	90	1.89	2.84	4.25	5.67	1;1.5;3;5;7	1000	20	1;1.1;1.2;1.3
118001	S	杀怪额外增加1160分	杀怪额外增加*分	ADD_ATK_SCORE	10	930	1160	25.56	38.34	57.5	76.67	1;1.5;3;5;7	1000	20	1;1.1;1.2;1.3
119001	S	额外增加体力105	额外增加体力*	ADD_HP	5	85	105	2.23	3.34	5	6.67	1;1.5;3;5;7	1000	20	1;1.1;1.2;1.3
120001	S	额外增加体力105	额外增加体力*	ADD_HP	5	85	105	2.23	3.34	5	6.67	1;1.5;3;5;7	1000	20	1;1.1;1.2;1.3
121001	SS	额外增加体力135	额外增加体力*	ADD_HP	5	109	135	2.89	4.34	6.5	8.67	1;1.5;3;5;7	1000	20	1;1.1;1.2;1.3
122001	SS	杀怪额外增加1500分	杀怪额外增加*分	ADD_ATK_SCORE	10	1202	1500	33.12	49.67	74.5	99.34	1;1.5;3;5;7	1000	20	1;1.1;1.2;1.3
123001	B	无被动技能	无被动技能												
124001	A	无被动技能	无被动技能												
125001	A	无被动技能	无被动技能												
126001	S	无被动技能	无被动技能												
127001	SS	无被动技能	无被动技能												
128001	S	无被动技能	无被动技能												
129001	SS	无被动技能	无被动技能												
