ID	Accounts_Exp	Accounts_Score_Bonus	Accounts_LvUp_Diamond	Accounts_LvUp_Gold	Lightning	Open_Event
1	600	0.01	1	500	100	
2	1200	0.01	2	1000	100	
3	2000	0.02	3	1500	100	
4	3000	0.02	4	2000	100	
5	4200	0.03	5	2500	100	
6	5600	0.03	6	3000	100	
7	7200	0.04	7	3500	100	
8	9000	0.04	8	4000	100	
9	11000	0.05	9	4500	100	
10	13200	0.05	10	5000	100	1001
11	15600	0.06	11	5500	100	
12	18200	0.06	12	6000	100	
13	21000	0.07	13	6500	100	
14	24000	0.07	14	7000	100	
15	27200	0.08	15	7500	100	1002
16	30600	0.08	16	8000	100	
17	34200	0.09	17	8500	100	
18	38000	0.09	18	9000	100	
19	42000	0.1	19	9500	100	
20	46200	0.1	20	10000	100	
21	50600	0.11	21	10500	100	
22	55200	0.11	22	11000	100	
23	60000	0.12	23	11500	100	
24	65000	0.12	24	12000	100	
25	70200	0.13	25	12500	100	
26	75600	0.13	26	13000	100	
27	81200	0.14	27	13500	100	
28	87000	0.14	28	14000	100	
29	93000	0.15	29	14500	100	
30	99200	0.15	30	15000	100	
31	105600	0.16	31	15500	100	
32	112200	0.16	32	16000	100	
33	119000	0.17	33	16500	100	
34	126000	0.17	34	17000	100	
35	133200	0.18	35	17500	100	
36	140600	0.18	36	18000	100	
37	148200	0.19	37	18500	100	
38	156000	0.19	38	19000	100	
39	164000	0.2	39	19500	100	
40	172200	0.2	40	20000	100	
41	180600	0.21	41	20500	100	
42	189200	0.21	42	21000	100	
43	198000	0.22	43	21500	100	
44	207000	0.22	44	22000	100	
45	216200	0.23	45	22500	100	
46	225600	0.23	46	23000	100	
47	235200	0.24	47	23500	100	
48	245000	0.24	48	24000	100	
49	255000	0.25	49	24500	100	
50	265200	0.25	50	25000	100	
51	275600	0.26	51	25500	100	
52	286200	0.26	52	26000	100	
53	297000	0.27	53	26500	100	
54	308000	0.27	54	27000	100	
55	319200	0.28	55	27500	100	
56	330600	0.28	56	28000	100	
57	342200	0.29	57	28500	100	
58	354000	0.29	58	29000	100	
59	366000	0.3	59	29500	100	
60	378200	0.3	60	30000	100	
61	390600	0.31	61	30500	100	
62	403200	0.31	62	31000	100	
63	416000	0.32	63	31500	100	
64	429000	0.32	64	32000	100	
65	442200	0.33	65	32500	100	
66	455600	0.33	66	33000	100	
67	469200	0.34	67	33500	100	
68	483000	0.34	68	34000	100	
69	497000	0.35	69	34500	100	
70	511200	0.35	70	35000	100	
71	525600	0.36	71	35500	100	
72	540200	0.36	72	36000	100	
73	555000	0.37	73	36500	100	
74	570000	0.37	74	37000	100	
75	585200	0.38	75	37500	100	
76	600600	0.38	76	38000	100	
77	616200	0.39	77	38500	100	
78	632000	0.39	78	39000	100	
79	648000	0.4	79	39500	100	
80	664200	0.4	80	40000	100	
81	680600	0.41	81	40500	100	
82	697200	0.41	82	41000	100	
83	714000	0.42	83	41500	100	
84	731000	0.42	84	42000	100	
85	748200	0.43	85	42500	100	
86	765600	0.43	86	43000	100	
87	783200	0.44	87	43500	100	
88	801000	0.44	88	44000	100	
89	819000	0.45	89	44500	100	
90	837200	0.45	90	45000	100	
91	855600	0.46	91	45500	100	
92	874200	0.46	92	46000	100	
93	893000	0.47	93	46500	100	
94	912000	0.47	94	47000	100	
95	931200	0.48	95	47500	100	
96	950600	0.48	96	48000	100	
97	970200	0.49	97	48500	100	
98	990000	0.49	98	49000	100	
99	1010000	0.5	99	49500	100	
100	1030200	0.5	100	50000	100	
