ID	TERRITORY_LV	TERRITORY_TYPE	TERRITORY_GOLD_BASIS_SPEED	TERRITORY_GOLD_TIME_MAX	TERRITORY_REWARD	DRESS_ID	PET_ID	MOUBTS_ID	PREFAB_NAME	EFFECT_NAME			
101001	1	1	14	60	17001004	0	0;0;0	0	scenes_screen_xpot03	ef_scenes_xpot03a			
101003	1	2	14	60	17001004	12001001	130020011;130120462;0	130250710	scenes_screen_xpot03b	ef_scenes_xpot03b			
101004	1	2	14	60	17001004	12002001	130040011;130190462;1302001005	130230010	scenes_screen_xpot03b	ef_scenes_xpot03b			
101005	1	3	14	60	17001004	0	0;0;0	0	scenes_screen_xpot03a	ef_scenes_xpot03a			
102001	2	1	18	60	17001004	0	0;0;0	0	scenes_screen_xpot03	ef_scenes_xpot03a			
102003	2	2	18	60	17001004	12001001	130020011;130120462;0	130250710	scenes_screen_xpot03b	ef_scenes_xpot03b			
102004	2	2	18	60	17001004	12002001	130040011;130190462;1302001005	130230010	scenes_screen_xpot03b	ef_scenes_xpot03b			
102005	2	3	18	60	17001004	0	0;0;0	0	scenes_screen_xpot03a	ef_scenes_xpot03a			
103001	3	1	25	60	17001004	0	0;0;0	0	scenes_screen_xpot03	ef_scenes_xpot03a			
103003	3	2	25	60	17001004	12001001	130020011;130120462;0	130250710	scenes_screen_xpot03b	ef_scenes_xpot03b			
103004	3	2	25	60	17001004	12002001	130040011;130190462;1302001005	130230010	scenes_screen_xpot03b	ef_scenes_xpot03b			
103005	3	3	25	60	17001004	0	0;0;0	0	scenes_screen_xpot03a	ef_scenes_xpot03a			
104001	4	1	35	60	17001004	0	0;0;0	0	scenes_screen_xpot03	ef_scenes_xpot03a			
104003	4	2	35	60	17001004	12001001	130020011;130120462;0	130250710	scenes_screen_xpot03b	ef_scenes_xpot03b			
104004	4	2	35	60	17001004	12002001	130040011;130190462;1302001005	130230010	scenes_screen_xpot03b	ef_scenes_xpot03b			
104005	4	3	35	60	17001004	0	0;0;0	0	scenes_screen_xpot03a	ef_scenes_xpot03a			
105001	5	1	46	60	17001004	0	0;0;0	0	scenes_screen_xpot03	ef_scenes_xpot03a			
105003	5	2	46	60	17001004	12001001	130020011;130120462;0	130250710	scenes_screen_xpot03b	ef_scenes_xpot03b			
105004	5	2	46	60	17001004	12002001	130040011;130190462;1302001005	130230010	scenes_screen_xpot03b	ef_scenes_xpot03b			
105005	5	3	46	60	17001004	0	0;0;0	0	scenes_screen_xpot03a	ef_scenes_xpot03a			
106001	6	1	60	60	17001004	0	0;0;0	0	scenes_screen_xpot03	ef_scenes_xpot03a			
106003	6	2	60	60	17001004	12001001	130020011;130120462;0	130250710	scenes_screen_xpot03b	ef_scenes_xpot03b			
106004	6	2	60	60	17001004	12002001	130040011;130190462;1302001005	130230010	scenes_screen_xpot03b	ef_scenes_xpot03b			
106005	6	3	60	60	17001004	0	0;0;0	0	scenes_screen_xpot03a	ef_scenes_xpot03a			
107001	7	1	76	60	17001004	0	0;0;0	0	scenes_screen_xpot03	ef_scenes_xpot03a			
107003	7	2	76	60	17001004	12001001	130020011;130120462;0	130250710	scenes_screen_xpot03b	ef_scenes_xpot03b			
107004	7	2	76	60	17001004	12002001	130040011;130190462;1302001005	130230010	scenes_screen_xpot03b	ef_scenes_xpot03b			
107005	7	3	76	60	17001004	0	0;0;0	0	scenes_screen_xpot03a	ef_scenes_xpot03a			
108001	8	1	95	60	17001004	0	0;0;0	0	scenes_screen_xpot03	ef_scenes_xpot03a			
108003	8	2	95	60	17001004	12001001	130020011;130120462;0	130250710	scenes_screen_xpot03b	ef_scenes_xpot03b			
108004	8	2	95	60	17001004	12002001	130040011;130190462;1302001005	130230010	scenes_screen_xpot03b	ef_scenes_xpot03b			
108005	8	3	95	60	17001004	0	0;0;0	0	scenes_screen_xpot03a	ef_scenes_xpot03a			
109001	9	1	116	60	17001004	0	0;0;0	0	scenes_screen_xpot03	ef_scenes_xpot03a			
													
