ID	NAME	ICON_ATLAS	EFFECT	SKILL_DESC	CD_TIME	ATK_CD	KILL_CD	JUMP_CD	SUSTAINED_TIME	NEW_COLLECTIONS_P
101001	默认冲刺lv1				30				1	
101002	默认冲刺lv2				25				1.2	
101003	默认冲刺lv3				20				1.4	
101004	默认冲刺lv4				15				1.6	
101005	默认冲刺lv5				10				1.8	
102001	乔巴变大					30			6	
102002	乔巴变大					25			7	
102003	乔巴变大					20			8	
102004	乔巴变大					15			9	
102005	乔巴变大					10			10	
103001	提莫的隐形lv1				30				6	
103002	提莫的隐形lv2				25				7	
103003	提莫的隐形lv3				20				8	
103004	提莫的隐形lv4				15				9	
103005	提莫的隐形lv5				10				10	
103006	提莫的隐形lv6									
103007	提莫的隐形lv7									
104001	招财猫的金币雨+收集物lv1						30		6	15001000=8;15020000=7
104002	招财猫的金币雨+收集物lv2						25		6	15001000=8;15020000=7
104003	招财猫的金币雨+收集物lv3						20		6	15001000=8;15020000=7
104004	招财猫的金币雨+收集物lv4						15		6	15001000=8;15020000=7
104005	招财猫的金币雨+收集物lv5						10		6	15001000=8;15020000=7
105001	狮子耳的吼lv1							30		
105002	狮子耳的吼lv2							25		
105003	狮子耳的吼lv3							20		
105004	狮子耳的吼lv4							15		
105005	狮子耳的吼lv5							10		
106001	招财猫的金币雨lv1						30		6	15001000=8;15020000=7
106002	招财猫的金币雨lv2						25		6	15001000=8;15020000=7
106003	招财猫的金币雨lv3						20		6	15001000=8;15020000=7
106004	招财猫的金币雨lv4						15		6	15001000=8;15020000=7
106005	招财猫的金币雨lv5						10		6	15001000=8;15020000=7
106006	招财猫的金币雨lv6									
106007	招财猫的金币雨lv7									
