ID	NAME	DRESS_ID	SEX	ACT_TIME	DAMAGE_START	DAMAGE_OVER	COMBO_TIME	ACTION	EFFECT	DAMAGE_SCALE	ORDER	JUMP_ATK	ATK_DISTANCE
101001	男动作1	12001	0	0.4	0	0.433	0.5	atk01	ef_pleyer_male_atk01	2,2,1	1	0	
101002	男动作2	12001	0	0.4	0.1	0.6	0.5	atk02	ef_pleyer_male_atk02	2,2,1	2	0	
101003	男动作3	12001	0	0.4	0.1	0.65	0.5	atk03	ef_pleyer_male_atk03	2,2,1	3	0	
101004	男动作4	12001	0	0.6	0.1	0.55	0	atk04	ef_pleyer_male_atk04	2,2,1	4	0	
201001	女动作1	12001	1	0.367	0	0.367	0.5	atk01	ef_player_girl_atk01	2,2,1	1	0	
201002	女动作2	12001	1	0.4	0.1	0.633	0.5	atk02	ef_player_girl_atk02	2,2,1	2	0	
201003	女动作3	12001	1	0.4	0.1	0.9	0.5	atk03	ef_player_girl_atk03	2,2,1	3	0	
201004	女动作4	12001	1	0.7	0.1	0.55	0	atk04	ef_player_girl_atk04	2,2,1	4	0	
101005	男动作1	12003	0	0.4	0	0.433	0.5	atk01	ef_pleyer_male_atk01	2,2,1	1	0	
101006	男动作2	12003	0	0.4	0.1	0.6	0.5	atk02	ef_pleyer_male_atk02	2,2,1	2	0	
101007	男动作3	12003	0	0.4	0.1	0.65	0.5	atk03	ef_pleyer_male_atk03	2,2,1	3	0	
101008	男动作4	12003	0	0.6	0.1	0.55	0	atk04	ef_pleyer_male_atk04	2,2,1	4	0	
201005	女动作1	12003	1	0.367	0	0.367	0.5	atk01	ef_player_girl_atk01	2,2,1	1	0	
201006	女动作2	12003	1	0.4	0.1	0.633	0.5	atk02	ef_player_girl_atk02	2,2,1	2	0	
201007	女动作3	12003	1	0.4	0.1	0.9	0.5	atk03	ef_player_girl_atk03	2,2,1	3	0	
201008	女动作4	12003	1	0.7	0.1	0.55	0	atk04	ef_player_girl_atk04	2,2,1	4	0	
101009	男空中	12001	0	0.6	0	0.433	0	atk01	ef_pleyer_male_atk01	2,2,1	4	1	4,4,5,6
201009	女空中	12001	1	0.7	0	0.367	0	atk01	ef_player_girl_atk01	2,2,1	4	1	4,4,5,6
101010	男空中	12003	0	0.6	0	0.433	0	atk01	ef_pleyer_male_atk01	2,2,1	4	1	4,4,5,6
201010	女空中	12003	1	0.7	0	0.367	0	atk01	ef_player_girl_atk01	2,2,1	4	1	4,4,5,6
