ID	SEE	STATISTICS	NAME	DRESSDESC	RANK	GOLD	DIAMONDS	MATERIAL	BASE_HP	COLLECTIONS_SCORE	ADD_KILLSCORE	SCORE_PEN	BASE_ATK	SKILL1	SKILL2	SKILL3	RED_SCORE	NOTE_SCORE	COLLECTIONS1_SCORE	COLLECTIONS2_SCORE	TIME	DRESS_DESC	ICON_ATLAS	ICON_SPRITE	ICON_SPRITE_GIRL	MODEL_MALE	MODEL_GIRL	POSITION	ROTATION	SCALE	HEIGHT	GRAVITY	ACC	JUMP_HEIGHT	SPEED	BASE_SP	OPEN_CLOSE	CLAIM_UNLOCK_CLOTH	CLAIM_CLOTU_FINISH_OBJ	CLAIM_CLOTU_FINISH_VALUE	CLAIM_LOCK_PRICE_VALUE	CLAIM_UNLOCK_PRICE_VALUE	
12001001 	MATERIAL,COLLECTIONS_SCORE,ADD_KILLSCORE,SCORE_PEN	BASE_HP,COLLECTIONS_SCORE,ADD_KILLSCORE,SCORE_PEN	游戏少年	超级喜欢玩娃娃机，穿越到娃娃机世界，自带护盾技能	B	400	0		101	1	105	0.04	1	101027	101027=1							穿越到娃娃机世界，帮助娃娃机小镇的居民重建小镇，他最大的梦想是，带一个小狸回家~~		Tz_boy_icon	Tz_girl_icon			0;0;0	0;130;0	1.5;1.5;1.5							1						
12001002 	MATERIAL,COLLECTIONS_SCORE,ADD_KILLSCORE,SCORE_PEN	BASE_HP,COLLECTIONS_SCORE,ADD_KILLSCORE,SCORE_PEN	游戏少年	超级喜欢玩娃娃机，穿越到娃娃机世界，自带护盾技能	B	800	0		102	2	110	0.044	1	101027	101027=1									Tz_boy_icon	Tz_girl_icon												1						
12001003 	MATERIAL,COLLECTIONS_SCORE,ADD_KILLSCORE,SCORE_PEN	BASE_HP,COLLECTIONS_SCORE,ADD_KILLSCORE,SCORE_PEN	游戏少年	超级喜欢玩娃娃机，穿越到娃娃机世界，自带护盾技能	B	1200	0		103	3	115	0.048	1	101027	101027=1									Tz_boy_icon	Tz_girl_icon												1						
12001004 	MATERIAL,COLLECTIONS_SCORE,ADD_KILLSCORE,SCORE_PEN	BASE_HP,COLLECTIONS_SCORE,ADD_KILLSCORE,SCORE_PEN	游戏少年	超级喜欢玩娃娃机，穿越到娃娃机世界，自带护盾技能	B	1600	0		104	4	120	0.052	1	101027	101027=1									Tz_boy_icon	Tz_girl_icon												1						
12001005 	MATERIAL,COLLECTIONS_SCORE,ADD_KILLSCORE,SCORE_PEN	BASE_HP,COLLECTIONS_SCORE,ADD_KILLSCORE,SCORE_PEN	游戏少年	超级喜欢玩娃娃机，穿越到娃娃机世界，自带护盾技能	B	2000	0		105	5	125	0.056	1	101027	101027=1									Tz_boy_icon	Tz_girl_icon												1						
12001006 	MATERIAL,COLLECTIONS_SCORE,ADD_KILLSCORE,SCORE_PEN	BASE_HP,COLLECTIONS_SCORE,ADD_KILLSCORE,SCORE_PEN	游戏少年	超级喜欢玩娃娃机，穿越到娃娃机世界，自带护盾技能	B	2400	0		106	6	130	0.06	1	101027	101027=1									Tz_boy_icon	Tz_girl_icon												1						
12001007 	MATERIAL,COLLECTIONS_SCORE,ADD_KILLSCORE,SCORE_PEN	BASE_HP,COLLECTIONS_SCORE,ADD_KILLSCORE,SCORE_PEN	游戏少年	超级喜欢玩娃娃机，穿越到娃娃机世界，自带护盾技能	B	2800	0		107	7	135	0.064	1	101027	101027=1									Tz_boy_icon	Tz_girl_icon												1						
12001008 	MATERIAL,COLLECTIONS_SCORE,ADD_KILLSCORE,SCORE_PEN	BASE_HP,COLLECTIONS_SCORE,ADD_KILLSCORE,SCORE_PEN	游戏少年	超级喜欢玩娃娃机，穿越到娃娃机世界，自带护盾技能	B	3200	0		108	8	140	0.068	1	101027	101027=1									Tz_boy_icon	Tz_girl_icon												1						
12001009 	MATERIAL,COLLECTIONS_SCORE,ADD_KILLSCORE,SCORE_PEN	BASE_HP,COLLECTIONS_SCORE,ADD_KILLSCORE,SCORE_PEN	游戏少年	超级喜欢玩娃娃机，穿越到娃娃机世界，自带护盾技能	B	3600	0		109	9	145	0.072	1	101027	101027=1									Tz_boy_icon	Tz_girl_icon												1						
12001010 	MATERIAL,COLLECTIONS_SCORE,ADD_KILLSCORE,SCORE_PEN	BASE_HP,COLLECTIONS_SCORE,ADD_KILLSCORE,SCORE_PEN	游戏少年	超级喜欢玩娃娃机，穿越到娃娃机世界，自带护盾技能	B	4000	0		110	10	150	0.076	1	101027	101027=1									Tz_boy_icon	Tz_girl_icon										 		1						
12001011 	MATERIAL,COLLECTIONS_SCORE,ADD_KILLSCORE,SCORE_PEN	BASE_HP,COLLECTIONS_SCORE,ADD_KILLSCORE,SCORE_PEN	游戏少年	超级喜欢玩娃娃机，穿越到娃娃机世界，自带护盾技能	B	4400	0		111	11	155	0.08	1	101027	101027=2									Tz_boy_icon	Tz_girl_icon												1						
12001012 	MATERIAL,COLLECTIONS_SCORE,ADD_KILLSCORE,SCORE_PEN	BASE_HP,COLLECTIONS_SCORE,ADD_KILLSCORE,SCORE_PEN	游戏少年	超级喜欢玩娃娃机，穿越到娃娃机世界，自带护盾技能	B	4800	0		112	12	160	0.084	1	101027	101027=2									Tz_boy_icon	Tz_girl_icon												1						
12001013 	MATERIAL,COLLECTIONS_SCORE,ADD_KILLSCORE,SCORE_PEN	BASE_HP,COLLECTIONS_SCORE,ADD_KILLSCORE,SCORE_PEN	游戏少年	超级喜欢玩娃娃机，穿越到娃娃机世界，自带护盾技能	B	5200	0		113	13	165	0.088	1	101027	101027=2									Tz_boy_icon	Tz_girl_icon												1						
12001014 	MATERIAL,COLLECTIONS_SCORE,ADD_KILLSCORE,SCORE_PEN	BASE_HP,COLLECTIONS_SCORE,ADD_KILLSCORE,SCORE_PEN	游戏少年	超级喜欢玩娃娃机，穿越到娃娃机世界，自带护盾技能	B	5600	0		114	14	170	0.092	1	101027	101027=2									Tz_boy_icon	Tz_girl_icon												1						
12001015 	MATERIAL,COLLECTIONS_SCORE,ADD_KILLSCORE,SCORE_PEN	BASE_HP,COLLECTIONS_SCORE,ADD_KILLSCORE,SCORE_PEN	游戏少年	超级喜欢玩娃娃机，穿越到娃娃机世界，自带护盾技能	B	6000	0		115	15	175	0.096	1	101027	101027=2									Tz_boy_icon	Tz_girl_icon												1						
12001016 	MATERIAL,COLLECTIONS_SCORE,ADD_KILLSCORE,SCORE_PEN	BASE_HP,COLLECTIONS_SCORE,ADD_KILLSCORE,SCORE_PEN	游戏少年	超级喜欢玩娃娃机，穿越到娃娃机世界，自带护盾技能	B	6400	0		116	16	180	0.1	1	101027	101027=2									Tz_boy_icon	Tz_girl_icon												1						
