ID	QUE_TYPE	QUE_DSC	AN_DSC_A	AN_DSC_B	AN_DSC_C	AN_DSC_D	AN_DSC_E	AN_DSC_F					
1	1	您的性别是？	男	女									
2	1	您的年龄是？	16岁以下	16-20岁	21-26岁	 27-30岁	 30岁以上						
3	1	您的个人月收入是（包括各种来源）？	 无收入	3000元以下	3001-5000元	 5001-10000元	 10000元以上						
4	1	您的职务是？	企业基层岗位	企业中高层管理者	公务员	个体户/企业家	自由职业者	学生					
5	1	您多久浏览一次手机游戏相关的下载平台/论坛/网站？	几乎每天	每周	每月	极少浏览							
6	1	您平均每天多长时间用来玩手机游戏？	平均每天4小时以上	平均每天2-4小时	平均每天1-2小时	平均每天1小时以内							
7	1	你之前是否玩过跑酷类游戏？	是	否									
8	1	您是从哪里得知《暴走萌宠》这款游戏的？	玄云官方微信公众号	游戏媒体网站	朋友推荐	自己看到的 							
9	1	您玩这款游戏时，最吸引您的是？	题材	画面	玩法	社交交互	游戏类型	其他					
10	1	您对游戏人物角色的美术设计是否满意？	满意	一般	不满								
11	1	您对游戏场景的美术设计是否满意？	满意	一般	不满								
12	1	您对游戏玩法是否满意？	满意	一般	不满								
13	1	您在游戏的时候有没有卡顿的情况或者不流畅的情况？	有，经常卡	偶尔卡	没有，很流畅								
14	1	您对游戏剧情设定是否满意？	满意	一般	不满								
15	1	您对游戏操作界面的美术设计是否满意？	满意	一般	不满								
16	3	您的手机是什么型号?											
17	3	您在游戏过程中有无发现bug（如有请列出）？（填写此项额外获得价值50元的游戏币）											
18	3	您最希望本游戏改进哪些内容、您还有什么其他建议？（填写此项额外获得价值50元的游戏币）											
