ID	TASK_ID	REWARD_EXP	REWARD_GOLD	REWARD_DIAMOND	REWARD_PROPS	REWARD_THREE_PROPS	REWARD_PET	REWARD_EQUIP	REWARD_CUP	CUP_GAIN_MAP	TASK_MORE	TASK_TYPE	TASK_TASK_ID	OBJ	OBJ_COUNT	TASK_GAME_MODE	GOTO_MODE	TASK_DESC	TASK_NAME	SAVE					
101001	Jb_mzyl_icon			7							1	1	119001	1500100 	2000	18	2	累计获得金币2000	金币收集						
102001	Zb_mfghhz_icon			7							1	1	117001		1	3	8	赢的一次夺宝比赛	夺宝比赛						
103001	Zb_qbpx_icon			7							1	1	119001	1500100 	5000	18	2	累计获得金币5000	金币收集						
104001	Zb_hjbb_icon			7							1	1	106001		100000	2	2	单局获得100000分	高手得分						
108001	Zb_jbhf_icon			7							1	1	109001	101001 	1	1	1 	通关第1关	通关任务						
109001	Zb_bsmx_icon			7							1	1	109001	101004 	1	1	1 	通关第4关	通关任务						
110001	Zb_mbst_icon			7							1	1	106001		200000	2	2	单局获得200000分	单局得分						
333333	Jb_mzyl_icon						130010011				1	7								1					
101000				7							1	6				16			测试福利						
112001		200	200		15005000=1;15008000=1	15039000=3						5	109002;106001;106001		1;10000;12000	1 		一星:通关当前关卡;二星:得分:10000;三星:得分:12000							
112002		200	200		15011000=1;15014000=1	15039000=3						5	109002;106001;106001		1;10000;13000	1		一星:通关当前关卡;二星:得分:10000;三星:得分:13000							
112003		200	200		15005000=1;15017000=1	15039000=3						5	109002;106001;106001		1;12000;14000	1		一星:通关当前关卡;二星:得分:12000;三星:得分:14000							
112004		200	200		15008000=1;15011000=1	15039000=3						5	109002;106001;106001		1;13000;15000	1		一星:通关当前关卡;二星:得分:13000;三星:得分:15000							
112005		200	200		15014000=1;15017000=1	15039000=3						5	109002;106001;106001		1;15000;17000	1		一星:通关当前关卡;二星:得分:15000;三星:得分:17000							
112006		200	200		15005000=1;15008000=1	15039000=3						5	109002;106001;106001		1;16000;19000	1		一星:通关当前关卡;二星:得分:16000;三星:得分:19000							
112007		200	200		15011000=1;15014000=1	15039000=3						5	109002;106001;106001		1;17000;21000	1		一星:通关当前关卡;二星:得分:17000;三星:得分:21000							
112008		200	200		15005000=1;15017000=1	15039000=3						5	109002;106001;106001		1;18000;23000	1		一星:通关当前关卡;二星:得分:18000;三星:得分:23000							
112009		200	200		15008000=1;15011000=1	15039000=3						5	109002;106001;106001		1;20000;25000	1		一星:通关当前关卡;二星:得分:20000;三星:得分:25000							
112010		200	200		15014000=1;15017000=1	15039000=3						5	109002;106001;106001		1;20000;28000	1		一星:通关当前关卡;二星:得分:20000;三星:得分:28000							
112011		200	200		15005000=1;15008000=1	15039000=3						5	109002;106001;106001		1;20000;31000	1		一星:通关当前关卡;二星:得分:20000;三星:得分:31000							
112012		200	200		15011000=1;15014000=1	15039000=3						5	109002;106001;106001		1;20000;34000	1		一星:通关当前关卡;二星:得分:20000;三星:得分:34000							
112013		200	200		15005000=1;15017000=1	15039000=3						5	109002;106001;106001		1;20000;37000	1		一星:通关当前关卡;二星:得分:20000;三星:得分:37000							
112014		200	200		15008000=1;15011000=1	15039000=3						5	109002;106001;106001		1;20000;41000	1		一星:通关当前关卡;二星:得分:20000;三星:得分:41000							
112015		200	200		15014000=1;15017000=1	15039000=3						5	109002;106001;106001		1;20000;45000	1		一星:通关当前关卡;二星:得分:20000;三星:得分:45000							
113001									1	17001004	1	4	101001	15001000 	60	1		吃到金币60个	收集3个小银币						
